language	Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Homepage_URL
Czech Corpus	citing_context	Czech Court Decisions	https://doi.org/10.48550/arXiv.2412.17933 (2024)	https://www.semanticscholar.org/paper/3d8401b052a507a785d7dd53b0ef8c57d303c919 (2014)	The Czech Court Decisions dataset is used to train and evaluate named entity recognition (NER) models, specifically focusing on identifying legal entities in Czech court decisions. Researchers employ the OAF annotation scheme to enhance model accuracy. This dataset enables the development of NER models tailored to the legal domain, addressing the need for precise entity recognition in complex legal texts.	
Czech Corpus	citing_context	Czech Court Decisions Corpus (CzCDC)	https://www.semanticscholar.org/paper/272647d6865ea48b430d9a2ee50f6138a3f63986 (2020)	https://www.semanticscholar.org/paper/5f9e0986f88666c1448a82bbaae8c086bce9d540 (2019)	The Czech Court Decisions Corpus (CzCDC) is used to compile and analyze court decisions from the Czech Supreme Court, Supreme Administrative Court, and Constitutional Court. It focuses on legal language, decision-making processes, and the availability and completeness of legal documents. The dataset supports research in legal text processing, including automatic segmentation of court decisions and recognition of court identifiers, enhancing the accessibility and utility of legal texts for analysis.	
Czech Corpus	cited_context | citing_context	Czech Facebook dataset (CFD)	https://doi.org/10.1007/978-3-030-83527-9_17 (2021)	https://www.semanticscholar.org/paper/142407d3cb61067e88d385f95ae238c74b19d554 (2013)	The Czech Facebook dataset (CFD) is used to evaluate sentiment analysis on Czech Facebook posts, specifically focusing on the accuracy of sentiment classification algorithms. Researchers employ this dataset to assess and improve the performance of these algorithms, leveraging the dataset's relevance to social media content in the Czech language.; The Czech Facebook dataset (CFD) is used to evaluate sentiment analysis models, focusing on their performance with social media data in the Czech language. Researchers employ this dataset to assess model accuracy and effectiveness in understanding nuanced sentiments expressed on platforms like Facebook. This dataset enables the development and refinement of natural language processing techniques tailored to the Czech language, enhancing the reliability of sentiment analysis in social media contexts.	
Czech Corpus	cited_context	Czech named entity corpus (CNEC)	https://www.semanticscholar.org/paper/325955a4a078988450c73a6581d25f305dd133cc (2020)	https://doi.org/10.3115/1699705.1699748 (2009)	The Czech named entity corpus (CNEC) is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on specific methodologies, research questions, or characteristics of the dataset in the provided contexts. Therefore, based on the available evidence, the actual use of CNEC in research cannot be accurately described beyond its mere mention.	
Czech Corpus	cited_context | citing_context	Czech Named Entity Corpus	https://doi.org/10.26615/978-954-452-072-4_119 (2021), https://doi.org/10.3115/v1/P14-5003 (2014)	https://www.semanticscholar.org/paper/0a1cf8dbb859c13cbdb40788d7e69060155f9d77 (2014), https://doi.org/10.1007/978-3-642-40585-3_20 (2013)	The Czech Named Entity Corpus is used for named entity recognition tasks, providing richly annotated data for entities in the Czech language. Researchers employ this dataset to train and evaluate models that identify and classify named entities, enhancing the accuracy of natural language processing systems specifically for Czech. This corpus enables detailed analysis and improvement of entity recognition algorithms, contributing to advancements in Czech language technology.; The Czech Named Entity Corpus is used for evaluating named entity recognition systems, particularly by allowing ambiguous labels in the annotation process. It supports both coarse and fine-grained classification tasks, enabling researchers to assess system performance in identifying and categorizing named entities with varying levels of specificity. This dataset facilitates the development and refinement of NER models tailored to handle ambiguity and complexity in entity recognition.	
Czech Corpus	cited_context	Czech Named Entity Corpus 1.1	https://doi.org/10.5220/0006595904860492 (2018)	https://doi.org/10.3233/SW-140134 (2015)	The Czech Named Entity Corpus 1.1 is utilized to enhance named entity recognition (NER) processes, specifically for identifying and contextualizing entities in Czech text. It is used to train and evaluate NER models, improving the accuracy and contextual understanding of recognized entities. This dataset supports research in natural language processing (NLP), particularly in web-derived text, aiding in tasks such as entity linking and natural language understanding and generation.	
Czech Corpus	citing_context	Czech Named Entity Recognizer	https://doi.org/10.18653/v1/2023.bsnlp-1.1 (2023)	https://doi.org/10.1007/978-3-642-40585-3_20 (2013)	The Czech Named Entity Recognizer dataset is used to evaluate the RobeCzech language model's performance on Czech named entity recognition tasks. It serves as a benchmark to assess model accuracy and effectiveness in identifying named entities within the Czech language. This dataset enables researchers to compare and improve language models specifically for Czech language applications.	
Czech Corpus	citing_context	Czech national corpus	https://doi.org/10.48550/arXiv.2212.08550 (2022), https://doi.org/10.18653/v1/2023.wassa-1.10 (2023)	https://doi.org/10.18653/v1/N19-1423 (2019)	The Czech national corpus is used as a large-scale training resource for developing deep bidirectional transformers, specifically the RoBERTa model (RobeCzech) and the Czert model. These models employ BERT-like architectures to enhance Czech language understanding and representation. The dataset's extensive size and linguistic diversity enable robust training, facilitating advanced language processing tasks and improving model performance in Czech language applications.	
Czech Corpus	citing_context	Czech OOV In-flection Dataset	https://doi.org/10.48550/arXiv.2404.08974 (2024)		The Czech OOV In-flection Dataset is used to address limitations in covering neologisms and out-of-vocabulary (OOV) inflections in Czech language morphology. It serves as a morphological dictionary with high precision but low recall, providing inflections and identifying lemmas not present in the dataset. Researchers use it to construct lemma-disjoint train-dev-test splits, ensuring minimal bias and serving as a benchmark for evaluating OOV inflection models.	
Czech Corpus	citing_context	Czech part of the MALACH project	https://doi.org/10.1007/978-3-031-16270-1_25 (2022)		The Czech part of the MALACH project dataset is used to provide linguistic data for the Czech language, focusing on research and development in natural language processing and computational linguistics. It supports the creation and improvement of algorithms and models that process and analyze Czech text, enhancing the accuracy and efficiency of computational linguistic tools.	
Czech Corpus	citing_context	Czech version of Rey Auditory Verbal Learning Test	https://doi.org/10.1044/2016_JSLHR-L-15-0301 (2016)	https://doi.org/10.1080/13825585.2013.865699 (2014)	The Czech version of the Rey Auditory Verbal Learning Test is used to establish normative data for memory performance and verbal learning patterns in the Czech population. It assesses immediate and delayed recall, as well as the sum of trials 1 to 5, providing standardized psychological assessment data for Czech participants. This dataset enables researchers to compare individual memory performance against established norms, facilitating the identification of potential memory impairments or deviations from typical cognitive functioning.	
Czech Corpus	cited_context	Czech Web 2014	https://doi.org/10.5220/0006595904860492 (2018)		The Czech Web 2014 dataset is used to train and evaluate models for Czech language processing, specifically focusing on web-derived text data. This dataset enables researchers to improve natural language understanding and generation tasks by providing a rich source of real-world textual content, enhancing the performance and accuracy of language models in processing web-based Czech language data.	
